Cert1,SerialNumber1,Type1,Cert2,SerialNumber2,Type2,Difference
topf.sbibankllc.ru,1806AE35CAEDAB4FA630A42BB6B,precertificate,test-new-api.sbibankllc.ru,1806AE81FCDB6B4FA630AC2B188,precertificate,22
test-new-api.sbibankllc.ru,1806AE81FCDB6B4FA630AC2B188,precertificate,www.kaspersky.ru,1806AE9C0F452B2AF676C5F6B50,precertificate,17
www.kaspersky.ru,1806AE9C0F452B2AF676C5F6B50,precertificate,acs.centrinvest.ru,1806AEBA90B2A5C579AB59C90EB,precertificate,21
acs.centrinvest.ru,1806AEBA90B2A5C579AB59C90EB,precertificate,*.dtnetwork.ru,1806AEDBF5292F523AFB0185C76,precertificate,20
*.dtnetwork.ru,1806AEDBF5292F523AFB0185C76,precertificate,voiptools.ru,1806AEDCE1383249889570643A7,precertificate,20
voiptools.ru,1806AEDCE1383249889570643A7,precertificate,*.kebrus.ru,1806AF062C3C5B4AFEB5155049D,precertificate,19
*.kebrus.ru,1806AF062C3C5B4AFEB5155049D,precertificate,my.centrinvest.ru,1806B00C8752A5CE53DB79C90EB,precertificate,20
my.centrinvest.ru,1806B00C8752A5CE53DB79C90EB,precertificate,stavkray.ru,1806B02AB1AE7EA92A3B16A627A,precertificate,19
stavkray.ru,1806B02AB1AE7EA92A3B16A627A,precertificate,1class.petersburgedu.ru,1806B04F4325A0F63A0FFF0E500,precertificate,20
1class.petersburgedu.ru,1806B04F4325A0F63A0FFF0E500,precertificate,armdoo.petersburgedu.ru,1806B050E545A7F77A09FC1C300,precertificate,16
armdoo.petersburgedu.ru,1806B050E545A7F77A09FC1C300,precertificate,sermet.ru,1806B11F577B8B7118E199735F6,precertificate,21
sermet.ru,1806B11F577B8B7118E199735F6,precertificate,atlantmetall.ru,1806B1211A12A75118E1997B557,precertificate,18
atlantmetall.ru,1806B1211A12A75118E1997B557,precertificate,*.nic.ru,1806B144CC7DAB4AFD7A270E1FD,precertificate,21
*.nic.ru,1806B144CC7DAB4AFD7A270E1FD,precertificate,st9-mge-isepsn1.ncfu.net,1806B18E1676CF70EF6A44BFAB0,precertificate,20
st9-mge-isepsn1.ncfu.net,1806B18E1676CF70EF6A44BFAB0,precertificate,ncfu.net,1806B18F2403E7D5365B39CE30A,precertificate,20
ncfu.net,1806B18F2403E7D5365B39CE30A,precertificate,xn----otbfciegbepjfxsx.xn--p1ai,1806B18FD1016A97DBCA89CE369,precertificate,19
xn----otbfciegbepjfxsx.xn--p1ai,1806B18FD1016A97DBCA89CE369,precertificate,vdi.ncfu.net,1806B190D2928375065B39CE30A,precertificate,17
vdi.ncfu.net,1806B190D2928375065B39CE30A,precertificate,*.ncfu.ru,1806B192A1AEE16EB2A19A6E09D,precertificate,20
*.ncfu.ru,1806B192A1AEE16EB2A19A6E09D,precertificate,in.ncfu.ru,1806B1933EA14875365B39CE39F,precertificate,21
in.ncfu.ru,1806B1933EA14875365B39CE39F,precertificate,pers.ncfu.ru,1806B1940FA7F3C5065B39CE39F,precertificate,19
pers.ncfu.ru,1806B1940FA7F3C5065B39CE39F,precertificate,mail.ncfu.ru,1806B194E0A734E5065B39CE39F,precertificate,17
mail.ncfu.ru,1806B194E0A734E5065B39CE39F,precertificate,login.ncfu.ru,1806B1959BA90065565B39CE39F,precertificate,18
login.ncfu.ru,1806B1959BA90065565B39CE39F,precertificate,ecampus.ncfu.ru,1806B19659293A54B65B39CE39F,precertificate,21
ecampus.ncfu.ru,1806B19659293A54B65B39CE39F,precertificate,1cdoc.ncfu.ru,1806B1970AA75675465B39CE39F,precertificate,18
1cdoc.ncfu.ru,1806B1970AA75675465B39CE39F,precertificate,ncfu.ru,1806B19845A15A7954B82A263EE,precertificate,22
ncfu.ru,1806B19845A15A7954B82A263EE,precertificate,*.ncfu.net,1806B19925BC8DEEC72E349FA1A,precertificate,22
*.ncfu.net,1806B19925BC8DEEC72E349FA1A,precertificate,ncfu.ru,1806B199C23B5555365B39CE39F,precertificate,20
ncfu.ru,1806B199C23B5555365B39CE39F,precertificate,demoadmin.visitorcontrol.ru,1806B1DA4E83DADAF733FB7E024,precertificate,21
demoadmin.visitorcontrol.ru,1806B1DA4E83DADAF733FB7E024,precertificate,analytics.inoffice.services,1806B1DC7A212ADAF736F7F2800,precertificate,21
analytics.inoffice.services,1806B1DC7A212ADAF736F7F2800,precertificate,*.1cbiz.ru,1806B20E9ABDAB4AFEB0CCBA507,precertificate,18
*.1cbiz.ru,1806B20E9ABDAB4AFEB0CCBA507,precertificate,money1c.com,1806B20F8D4DAB4AFEB7CD19A0C,precertificate,21
money1c.com,1806B20F8D4DAB4AFEB7CD19A0C,precertificate,*.1cfresh.com,1806B210454DAB4AFEB7CEB2D3D,precertificate,20
