CommonName,Type,CA,SerialNumber,LogName,LogYear,ExpireTime,LogTime,Difference
cateam.ru,precert,TCI ECDSA B1 6-160,1D4C7AB5B8E1C77EA2B4E2F,Yandex,2022,2023-01-16 16:40:02.000,2022-10-18 16:41:01.109,376h40m3s
cateam.ru,precert,TCI ECDSA B1 6-160,184161AE6B56BF0789F9067,Yandex,2022,2023-01-16 16:13:42.000,2022-10-18 16:15:12.112,376h13m43s
chepyre.ru,precert,Russian Trusted Sub CA,917D79348D4211EF98770242AC120002,MDC,2024,2025-01-16 11:17:32.000,2024-10-18 11:17:32.091,371h17m33s
silverings.ru,precert,Russian Trusted Sub CA,98DD30C875B111EF957B0242AC120002,MDC,2025,2024-12-17 11:31:50.000,2024-09-18 11:31:50.648,348h28m10s
nc.silverings.ru,precert,Russian Trusted Sub CA,9CCFEE7075C811EF99690242AC120002,MDC,2025,2024-12-17 14:16:35.000,2024-09-18 14:16:35.698,345h43m25s
nuc.voskhod.ru,precert,Russian Trusted Sub CA,3646815475CE11EFB7CC0242AC120002,MDC,2025,2024-12-17 14:56:40.000,2024-09-18 14:56:40.656,345h3m20s
gosttest.zn9.ru,precert,Russian Trusted Sub CA,1A2F88A75D111EFAB230242AC120002,MDC,2025,2024-12-17 15:16:40.000,2024-09-18 15:16:40.829,344h43m20s
okbm.nnov.ru,precert,Russian Trusted Sub CA,169D6200765A11EF8D4B0242AC120002,MDC,2025,2024-12-18 07:37:57.000,2024-09-19 07:37:57.068,328h22m3s
hoteltofms.ru,precert,Russian Trusted Sub CA,85CDDC06766711EF84570242AC120002,MDC,2025,2024-12-18 09:14:07.000,2024-09-19 09:14:07.078,326h45m53s
worldfox.ru,precert,Russian Trusted Sub CA,24C2A9748B1011EF844C0242AC120002,MDC,2024,2025-01-13 16:11:32.000,2024-10-15 16:11:32.468,304h11m33s
www.aquariumi.ru,precert,Russian Trusted Sub CA,411027608AB511EF844C0242AC120002,MDC,2024,2025-01-13 05:20:55.000,2024-10-15 05:20:55.776,293h20m56s
taxmon.brother.ru,precert,Russian Trusted Sub CA,DBD1A45289FE11EF9D4D0242AC120002,MDC,2024,2025-01-12 07:35:17.000,2024-10-14 07:35:17.503,271h35m18s
russl.tmp.net.ru,precert,Russian Trusted Sub CA,DFB7646678D911EF99010242AC120002,MDC,2025,2024-12-21 11:57:42.000,2024-09-22 11:57:42.884,252h2m18s
semendilov.ru,precert,Russian Trusted Sub CA,A028AEC678E911EF9BA10242AC120002,MDC,2025,2024-12-21 13:50:28.000,2024-09-22 13:50:28.202,250h9m32s
nuc.voskhod.ru,precert,Russian Trusted Sub CA,8924B2127B2B11EFA3220242AC120002,MDC,2025,2024-12-24 10:47:18.000,2024-09-25 10:47:18.686,181h12m42s
sberradar.vsrobotics.ru,precert,Russian Trusted Sub CA,D73CC5EC86DA11EF96870242AC120002,MDC,2024,2025-01-08 07:39:54.000,2024-10-10 07:39:54.428,175h39m55s
vsrobotics.ru,precert,Russian Trusted Sub CA,7FE74BB886D611EF83CE0242AC120002,MDC,2024,2025-01-08 07:08:49.000,2024-10-10 07:08:49.927,175h8m50s
xn----7sbfzhwgabgibqigp4e4c.xn--p1ai,precert,Russian Trusted Sub CA,EA42DB87C1D11EF97D30242AC120002,MDC,2025,2024-12-25 15:36:11.000,2024-09-26 15:36:11.366,152h23m49s
gubin.systems,precert,Russian Trusted Sub CA,99E736D27C8F11EF9D8B0242AC120002,MDC,2025,2024-12-26 05:16:07.000,2024-09-27 05:16:07.649,138h43m53s
wvro.ru,precert,Russian Trusted Sub CA,AFD2C29C7C9C11EF97D30242AC120002,MDC,2025,2024-12-26 06:49:47.000,2024-09-27 06:49:47.866,137h10m13s
whois.msk.wvro.org,precert,Russian Trusted Sub CA,2755F3747C9E11EF99560242AC120002,MDC,2025,2024-12-26 07:00:17.000,2024-09-27 07:00:17.873,136h59m43s
datananny.ru,precert,Russian Trusted Sub CA,56DB050E852B11EF89810242AC120002,MDC,2024,2025-01-06 04:11:05.000,2024-10-08 04:11:05.957,124h11m6s
biopolymers.pro,precert,Russian Trusted Sub CA,AFAA0DBE7D8411EFA3B70242AC120002,MDC,2025,2024-12-27 10:30:30.000,2024-09-28 10:30:30.853,109h29m30s
78.rospotrebnadzor.ru,precert,Russian Trusted Sub CA,6252136E7E6411EF9A8B0242AC120002,MDC,2025,2024-12-28 13:11:48.000,2024-09-29 13:11:48.357,82h48m12s
centrkulturi.ru,precert,Russian Trusted Sub CA,4BBB1867F0611EF9A8B0242AC120002,MDC,2025,2024-12-29 08:28:49.000,2024-09-30 08:28:49.807,63h31m11s
cateam.ru,precert,TCI ECDSA B1 6-160,178031D3E819FAD89DEAD4C,Yandex,2022,2023-01-03 15:13:31.000,2022-10-05 15:15:01.039,63h13m32s
cateam.ru,precert,TCI ECDSA B1 6-160,155F56E61871AE049911B0A,Yandex,2022,2023-01-03 15:10:45.000,2022-10-05 15:11:44.042,63h10m46s
cateam.ru,precert,TCI ECDSA B1 6-160,119068E0A6C21836415DF38,Yandex,2022,2023-01-03 15:09:49.000,2022-10-05 15:10:48.261,63h9m50s
blt.su,precert,Russian Trusted Sub CA,60A2F5A07FAA11EFABC70242AC120002,MDC,2025,2024-12-30 04:05:21.000,2024-10-01 04:05:21.472,43h54m39s
pendolin.ru,precert,Russian Trusted Sub CA,18A775B67FC611EFAC470242AC120002,MDC,2025,2024-12-30 07:23:46.000,2024-10-01 07:23:46.601,40h36m14s
nuc.voskhod.ru,precert,Russian Trusted Sub CA,D738BFA6800E11EF96F90242AC120003,MDC,2025,2024-12-30 16:04:30.000,2024-10-01 16:04:30.098,31h55m30s
1c.rostobr.ru,precert,Russian Trusted Sub CA,82F1B692821F11EF81560242AC120002,MDC,2024,2025-01-02 07:08:52.000,2024-10-04 07:08:52.462,31h8m53s
gost.ezhische.ru,precert,Russian Trusted Sub CA,5193B1F6817D11EFAE6B0242AC120002,MDC,2024,2025-01-01 11:47:51.000,2024-10-03 11:47:51.178,11h47m52s
poz-progress.ru,precert,Russian Trusted Sub CA,F7255394816F11EFA7520242AC120002,MDC,2024,2025-01-01 10:12:15.000,2024-10-03 10:12:16.003,10h12m16s
nuc.voskhod.ru,precert,Russian Trusted Sub CA,4F5A24F8816211EF81560242AC120002,MDC,2024,2025-01-01 08:34:30.000,2024-10-03 08:34:31.037,8h34m31s
